"CUSTOMER_WID","VISITS_NUM"
307573660,6
307573760,2
307574410,7
307574455,17
307574541,1
307574572,3
307574659,11
307574717,2
307574726,1
307574867,2
307574973,1
307574985,3
307575011,7
307575169,3
307575181,3
307575217,4
307575286,4
307575302,11
307575320,10
307575334,8
307575339,4
307575347,2
307575382,3
307575413,2
307575488,15
307575520,11
307575596,4
307575613,3
307575689,2
307575700,3
307575770,2
307575783,1
307575788,3
307575812,1
307575824,9
307575859,12
307575960,2
307575985,2
307575995,1
307576058,1
307576068,3
307576079,6
307576089,16
307576100,4
307576125,1
307576148,31
307576185,12
307576193,30
307576233,8
307576268,4
307576289,2
307576317,15
307576351,4
307576359,9
307576370,1
307576401,1
307576402,2
307576405,22
307576454,6
307576497,1
307576533,1
307576551,7
307576614,1
307576632,2
307576651,1
307576652,1
307576653,1
307576720,1
307576801,9
307576965,2
307576990,1
307577042,7
307577057,3
307577062,9
307577064,12
307577068,1
307577096,1
307577101,22
307577105,4
307577228,1
307577248,1
307577261,7
307577280,17
307577296,14
307577420,2
307577446,16
307577492,2
307577500,1
307577535,3
307577560,2
307577639,6
307577648,2
307577656,22
307577688,4
307577690,15
307577762,6
307577776,7
307577795,14
307577804,17
307577807,7
307577847,2
307577873,14
307577938,1
307577963,10
307577993,4
307578013,1
307578015,17
307578019,4
307578072,5
307578086,13
307578129,8
307578147,2
307578161,3
307578186,3
307578206,1
307578208,2
307578239,2
307578277,1
307578278,5
307578294,15
307578299,1
307578312,5
307578368,7
307578399,2
307578430,8
307578499,12
307578502,2
307578506,3
307578515,25
307578522,2
307578558,10
307578598,10
307578614,3
307578643,6
307578671,16
307578701,2
307578734,5
307578753,7
307578755,15
307578762,23
307578790,17
307578808,16
307578810,7
307578813,1
307578837,29
307578886,3
307578899,3
307578921,2
307579041,6
307579104,3
307579131,19
307579141,15
307579233,1
307579264,8
307579272,5
307579328,1
307579396,3
307579416,1
307579428,6
307579431,2
307579475,1
307579539,31
307579540,11
307579550,20
307579563,1
307579584,3
307579609,4
307579610,15
307579637,3
307579716,5
307579727,1
307579770,2
307579779,6
307579801,6
307579818,5
307579820,1
307579822,3
307579843,3
307579850,7
307579866,12
307579876,19
307579925,1
307579951,3
307579999,8
307580010,3
307580032,7
307580056,14
307580091,13
307580107,7
307580108,6
307580164,5
307580166,21
307580178,1
307580261,4
307580279,2
307580321,13
307580377,12
307580389,2
307580432,7
307580444,6
307580446,1
307580479,4
307580571,1
307580595,1
307580630,14
307580676,6
307580677,18
307580696,3
307580745,9
307580780,14
307580814,12
307580857,3
307580885,3
307580895,2
307580909,12
307580910,10
307580999,1
307581031,36
307581125,1
307581138,1
307581146,1
307581147,10
307581191,1
307581197,7
307581218,1
307581234,1
307581262,7
307581263,1
307581266,4
307581291,24
307581331,22
307581371,4
307581413,6
307581485,3
307581490,4
307581492,9
307581521,5
307581528,5
307581556,3
307581578,13
307581589,3
307581655,4
307581728,9
307581737,1
307581749,12
307581778,1
307581783,1
307581797,1
307581834,4
307581836,18
307581843,5
307581879,16
307581886,5
307581905,2
307581914,1
307581941,10
307581945,10
307581969,3
307581972,17
307581982,2
307582093,11
307582099,4
307582108,6
307582130,7
307582131,1
307582146,19
307582154,12
307582158,16
307582182,8
307582185,3
307582206,27
307582222,1
307582226,4
307582264,4
307582275,16
307582345,2
307582349,1
307582376,3
307582379,7
307582385,2
307582394,3
307582402,6
307582454,7
307582456,7
307582511,1
307582525,1
307582550,1
307582597,7
307582618,1
307582630,17
307582706,3
307582717,13
307582728,1
307582746,6
307582791,12
307582840,1
307582841,6
307582914,1
307582916,1
307582927,6
307582929,2
307582966,1
307582982,13
307583011,1
307583069,1
307583086,1
307583096,18
307583117,2
307583120,5
307583122,8
307583171,4
307583176,4
307583219,1
307583253,22
307583254,1
307583261,8
307583264,12
307583322,2
307583323,13
307583353,6
307583361,8
307583378,1
307583456,9
307583467,4
307583482,11
307583501,12
307583518,14
307583571,6
307583578,15
307583675,2
307583707,1
307583731,21
307583749,33
307583751,2
307583779,1
307583789,22
307583793,5
307583877,3
307583887,3
307583907,14
307583909,15
307583954,1
307583985,11
307584008,3
307584017,5
307584116,2
307584117,2
307584123,9
307584192,7
307584202,11
307584223,3
307584235,12
307584236,4
307584325,14
307584355,3
307584446,1
307584456,4
307584458,3
307584496,4
307584512,1
307584517,33
307584667,1
307584714,5
307584758,1
307584766,2
307584769,3
307584772,3
307584830,8
307584836,4
307584851,2
307584893,25
307584903,17
307584935,1
307584948,3
307584955,1
307584957,2
307584969,1
307584974,6
307584988,15
307585003,24
307585018,1
307585066,1
307585168,3
307585170,1
307585199,3
307585216,7
307585220,4
307585222,2
307585227,1
307585275,6
307585298,9
307585339,6
307585399,14
307585421,3
307585488,22
307585491,1
307585508,4
307585514,5
307585531,6
307585538,3
307585545,4
307585605,15
307585652,29
307585703,15
307585771,11
307585790,21
307585808,22
307585809,4
307585844,1
307585869,11
307585883,23
307585895,1
307585933,1
307585953,15
307585969,8
307585977,7
307586003,1
307586029,8
307586033,3
307586034,28
307586050,2
307586077,2
307586101,8
307586115,13
307586119,7
307586130,2
307586190,1
307586233,22
307586259,10
307586263,3
307586272,1
307586281,3
307586304,1
307586316,6
307586405,11
307586452,17
307586454,1
307586494,4
307586577,12
307586597,4
307586606,6
307586668,11
307586704,3
307586742,18
307586797,8
307586810,1
307586812,2
307586816,1
307586818,1
307586825,4
307586841,3
307586871,2
307586908,7
307586913,3
307586944,3
307586964,3
307586974,5
307587009,5
307587012,10
307587016,3
307587034,10
307587079,1
307587091,11
307587115,2
307587117,5
307587138,7
307587144,4
307587194,5
307587197,17
