"CUSTOMER_WID","COLLECTION_EVENTS_NUM"
307574455,13
307574541,2
307574572,26
307574659,6
307575011,22
307575286,5
307575302,7
307575339,2
307575488,15
307575520,45
307575596,6
307575700,4
307575783,2
307575788,6
307575960,6
307576068,4
307576079,4
307576100,4
307576289,18
307576317,17
307576351,14
307576497,4
307576551,22
307576614,2
307576651,16
307576653,4
307576720,14
307576801,4
307576965,12
307577057,48
307577064,2
307577096,4
307577105,12
307577228,2
307577248,2
307577280,5
307577446,3
307577656,4
307577688,2
307577690,8
307577776,2
307577795,2
307577963,10
307578015,7
307578186,4
307578239,43
307578294,20
307578312,2
307578430,20
307578499,3
307578515,3
307578614,45
307578671,6
307578734,12
307578808,28
307578837,7
307578921,4
307579131,7
307579141,3
307579272,4
307579396,2
307579539,17
307579540,2
307579770,4
307579818,18
307579850,2
307579866,24
307579999,8
307580056,2
307580091,27
307580107,9
307580166,42
307580321,7
307580377,9
307580432,9
307580677,10
307580745,24
307580780,28
307580814,6
307580857,4
307580895,6
307581138,12
307581234,34
307581291,5
307581521,2
307581728,5
307581834,16
307581836,15
307581843,8
307581886,22
307581945,5
307581969,4
307581972,4
307582093,4
307582146,37
307582154,3
307582158,3
307582379,22
307582385,2
307582717,18
307582746,5
307582791,8
307582929,12
307582982,2
307583011,1
307583254,2
307583264,1
307583322,8
307583323,5
307583361,1
307583501,4
307583518,29
307583571,20
307583578,20
307583731,12
307583877,22
307583909,35
307583985,2
307584017,12
307584116,14
307584123,2
307584202,31
307584235,2
307584236,5
307584325,31
307584401,2
307584496,12
307584512,51
307584714,10
307584830,66
307584893,11
307584948,1
307584969,36
307584974,16
307584988,12
307585003,11
307585018,4
307585227,6
307585298,1
307585531,14
307585703,18
307585771,41
307585790,31
307585808,10
307585809,28
307585869,2
307585969,43
307586029,11
307586033,13
307586034,16
307586077,2
307586115,49
307586119,2
307586233,70
307586316,51
307586405,12
307586494,6
307586810,2
307586825,58
307586841,2
307586913,9
307586944,4
307587016,1
307587034,5
307587091,12
307587117,2
307587144,6
307587194,3
307587197,9
307587214,6
307587314,19
307587365,44
307587376,30
307592331,7
307593338,3
307593343,4
307593541,10
307594014,2
307594110,46
309126228,3
309960691,2
312450911,4
316617060,3
320782550,5
324136566,10
331693455,17
332539388,2
